"id";"state_id";"state_code";"name";"no_accents"
1;22;"RO";"Alta Floresta D'Oeste";"Alta Floresta D'Oeste"
2;22;"RO";"Ariquemes";"Ariquemes"
3;22;"RO";"Cabixi";"Cabixi"
4;22;"RO";"Cacoal";"Cacoal"
5;22;"RO";"Cerejeiras";"Cerejeiras"
6;22;"RO";"Colorado do Oeste";"Colorado do Oeste"
7;22;"RO";"Corumbiara";"Corumbiara"
8;22;"RO";"Costa Marques";"Costa Marques"
9;22;"RO";"Espigão D'Oeste";"Espigao D'Oeste"
10;22;"RO";"Guajará-Mirim";"Guajara-Mirim"
11;22;"RO";"Jaru";"Jaru"
12;22;"RO";"Ji-Paraná";"Ji-Parana"
13;22;"RO";"Machadinho D'Oeste";"Machadinho D'Oeste"
14;22;"RO";"Nova Brasilândia D'Oeste";"Nova Brasilandia D'Oeste"
15;22;"RO";"Ouro Preto do Oeste";"Ouro Preto do Oeste"
16;22;"RO";"Pimenta Bueno";"Pimenta Bueno"
17;22;"RO";"Porto Velho";"Porto Velho"
18;22;"RO";"Presidente Médici";"Presidente Medici"
19;22;"RO";"Rio Crespo";"Rio Crespo"
20;22;"RO";"Rolim de Moura";"Rolim de Moura"
21;22;"RO";"Santa Luzia D'Oeste";"Santa Luzia D'Oeste"
22;22;"RO";"Vilhena";"Vilhena"
23;22;"RO";"São Miguel do Guaporé";"Sao Miguel do Guapore"
24;22;"RO";"Nova Mamoré";"Nova Mamore"
25;22;"RO";"Alvorada D'Oeste";"Alvorada D'Oeste"
26;22;"RO";"Alto Alegre dos Parecis";"Alto Alegre dos Parecis"
27;22;"RO";"Alto Paraíso";"Alto Paraiso"
28;22;"RO";"Buritis";"Buritis"
29;22;"RO";"Novo Horizonte do Oeste";"Novo Horizonte do Oeste"
30;22;"RO";"Cacaulândia";"Cacaulandia"
31;22;"RO";"Campo Novo de Rondônia";"Campo Novo de Rondonia"
32;22;"RO";"Candeias do Jamari";"Candeias do Jamari"
33;22;"RO";"Castanheiras";"Castanheiras"
34;22;"RO";"Chupinguaia";"Chupinguaia"
35;22;"RO";"Cujubim";"Cujubim"
36;22;"RO";"Governador Jorge Teixeira";"Governador Jorge Teixeira"
37;22;"RO";"Itapuã do Oeste";"Itapua do Oeste"
38;22;"RO";"Ministro Andreazza";"Ministro Andreazza"
39;22;"RO";"Mirante da Serra";"Mirante da Serra"
40;22;"RO";"Monte Negro";"Monte Negro"
41;22;"RO";"Nova União";"Nova Uniao"
42;22;"RO";"Parecis";"Parecis"
43;22;"RO";"Pimenteiras do Oeste";"Pimenteiras do Oeste"
44;22;"RO";"Primavera de Rondônia";"Primavera de Rondonia"
45;22;"RO";"São Felipe D'Oeste";"Sao Felipe D'Oeste"
46;22;"RO";"São Francisco do Guaporé";"Sao Francisco do Guapore"
47;22;"RO";"Seringueiras";"Seringueiras"
48;22;"RO";"Teixeirópolis";"Teixeiropolis"
49;22;"RO";"Theobroma";"Theobroma"
50;22;"RO";"Urupá";"Urupa"
51;22;"RO";"Vale do Anari";"Vale do Anari"
52;22;"RO";"Vale do Paraíso";"Vale do Paraiso"
53;1;"AC";"Acrelândia";"Acrelandia"
