4943;26;"SP";"Dois Córregos"
4944;26;"SP";"Dolcinópolis"
4945;26;"SP";"Dourado"
4946;26;"SP";"Dracena"
4947;26;"SP";"Duartina"
4948;26;"SP";"Dumont"
4949;26;"SP";"Echaporã"
4950;26;"SP";"Eldorado"
4951;26;"SP";"Elias Fausto"
4952;26;"SP";"Elisiário"
4953;26;"SP";"Embaúba"
4954;26;"SP";"Embu das Artes"
4955;26;"SP";"Embu-Guaçu"
4956;26;"SP";"Emilianópolis"
4957;26;"SP";"Engenheiro Coelho"
4958;26;"SP";"Espírito Santo do Pinhal"
4959;26;"SP";"Espírito Santo do Turvo"
4960;26;"SP";"Estrela d'Oeste"
4961;26;"SP";"Estrela do Norte"
4962;26;"SP";"Euclides da Cunha Paulista"
4963;26;"SP";"Fartura"
4964;26;"SP";"Fernandópolis"
4965;26;"SP";"Fernando Prestes"
4966;26;"SP";"Fernão"
4967;26;"SP";"Ferraz de Vasconcelos"
4968;26;"SP";"Flora Rica"
4969;26;"SP";"Floreal"
4970;26;"SP";"Flórida Paulista"
4971;26;"SP";"Florínea"
4972;26;"SP";"Franca"
4973;26;"SP";"Francisco Morato"
4974;26;"SP";"Franco da Rocha"
4975;26;"SP";"Gabriel Monteiro"
4976;26;"SP";"Gália"
4977;26;"SP";"Garça"
4978;26;"SP";"Gastão Vidigal"
4979;26;"SP";"Gavião Peixoto"
4980;26;"SP";"General Salgado"
4981;26;"SP";"Getulina"
4982;26;"SP";"Glicério"
4983;26;"SP";"Guaiçara"
4984;26;"SP";"Guaimbê"
4985;26;"SP";"Guaíra"
4986;26;"SP";"Guapiaçu"
4987;26;"SP";"Guapiara"
4988;26;"SP";"Guará"
4989;26;"SP";"Guaraçaí"
4990;26;"SP";"Guaraci"
4991;26;"SP";"Guarani d'Oeste"
4992;26;"SP";"Guarantã"
4993;26;"SP";"Guararapes"
4994;26;"SP";"Guararema"
4995;26;"SP";"Guaratinguetá"
4996;26;"SP";"Guareí"
4997;26;"SP";"Guariba"
4998;26;"SP";"Guarujá"
4999;26;"SP";"Guarulhos"
5000;26;"SP";"Guatapará"
5001;26;"SP";"Guzolândia"
5002;26;"SP";"Herculândia"
5003;26;"SP";"Holambra"
5004;26;"SP";"Hortolândia"
5005;26;"SP";"Iacanga"
5006;26;"SP";"Iacri"
5007;26;"SP";"Iaras"
5008;26;"SP";"Ibaté"
5009;26;"SP";"Ibirá"
5010;26;"SP";"Ibirarema"
5011;26;"SP";"Ibitinga"
5012;26;"SP";"Ibiúna"
5013;26;"SP";"Icém"
5014;26;"SP";"Iepê"
5015;26;"SP";"Igaraçu do Tietê"
5016;26;"SP";"Igarapava"
5017;26;"SP";"Igaratá"
5018;26;"SP";"Iguape"
5019;26;"SP";"Ilhabela"
5020;26;"SP";"Ilha Comprida"
5021;26;"SP";"Ilha Solteira"
5022;26;"SP";"Indaiatuba"
5023;26;"SP";"Indiana"
5024;26;"SP";"Indiaporã"
5025;26;"SP";"Inúbia Paulista"
5026;26;"SP";"Ipaussu"
5027;26;"SP";"Iperó"
5028;26;"SP";"Ipeúna"
5029;26;"SP";"Ipiguá"
5030;26;"SP";"Iporanga"
5031;26;"SP";"Ipuã"
5032;26;"SP";"Iracemápolis"
5033;26;"SP";"Irapuã"
5034;26;"SP";"Irapuru"
5035;26;"SP";"Itaberá"
5036;26;"SP";"Itaí"
5037;26;"SP";"Itajobi"
5038;26;"SP";"Itaju"
5039;26;"SP";"Itanhaém"
5040;26;"SP";"Itaóca"
5041;26;"SP";"Itapecerica da Serra"
5042;26;"SP";"Itapetininga"
5043;26;"SP";"Itapeva"
5044;26;"SP";"Itapevi"
5045;26;"SP";"Itapira"
5046;26;"SP";"Itapirapuã Paulista"
5047;26;"SP";"Itápolis"
5048;26;"SP";"Itaporanga"
5049;26;"SP";"Itapuí"
5050;26;"SP";"Itapura"
5051;26;"SP";"Itaquaquecetuba"
5052;26;"SP";"Itararé"
5053;26;"SP";"Itariri"
5054;26;"SP";"Itatiba"
5055;26;"SP";"Itatinga"
5056;26;"SP";"Itirapina"
5057;26;"SP";"Itirapuã"
5058;26;"SP";"Itobi"
